Vm,na12.ina_ina,na12mut.ina_ina
-72.0330793167892,-1.4212929209461926e-09,-2.2619057977318487e-10
-72.03296286006048,-1.4213084900398317e-09,-2.261902644187423e-10
-72.0328393103366,-1.4213306197308362e-09,-2.2619102517109426e-10
-72.0327087604936,-1.4213592181532667e-09,-2.2619284747660096e-10
-72.03257130134227,-1.4213941952707583e-09,-2.261957170186576e-10
-72.03242702167546,-1.4214354628606419e-09,-2.2619961971959566e-10
-72.03227600831481,-1.4214829344960202e-09,-2.2620454174198658e-10
-72.0321183461566,-1.421536525526041e-09,-2.262104694893967e-10
-72.0319541182169,-1.4215961530545902e-09,-2.2621738960664662e-10
-72.03178340567595,-1.4216617359175997e-09,-2.2622528897961596e-10
-72.03160628792178,-1.4217331946591638e-09,-2.2623415473463674e-10
-72.03142284259289,-1.4218104515066193e-09,-2.2624397423751462e-10
-72.03123314562036,-1.4218934303447541e-09,-2.2625473509221295e-10
-72.03103727126891,-1.4219820566892776e-09,-2.262664251392328e-10
-72.0308352921773,-1.4220762576596866e-09,-2.262790324537201e-10
-72.03062727939786,-1.4221759619516395e-09,-2.262925453433282e-10
-72.03041330243519,-1.4222810998089348e-09,-2.26306952345863e-10
-72.03019342928407,-1.4223916029952148e-09,-2.263222422267328e-10
-72.02996772646651,-1.4225074047654546e-09,-2.2633840397622835e-10
-72.02973625906809,-1.4226284398373372e-09,-2.2635542680665153e-10
-72.02949909077338,-1.4227546443625688e-09,-2.2637330014931257e-10
-72.02925628390068,-1.422885955898208e-09,-2.263920136514138e-10
-72.02900789943581,-1.4230223133780688e-09,-2.264115571728357e-10
-72.02875399706532,-1.4231636570842432e-09,-2.264319207828403e-10
-72.02849463520879,-1.4233099286187937e-09,-2.2645309475670663e-10
-72.02822987105037,-1.4234610708756573e-09,-2.2647506957230858e-10
-72.02795976056969,-1.4236170280127973e-09,-2.2649783590664921e-10
-72.02768435857188,-1.4237777454246363e-09,-2.2652138463236064e-10
-72.02740371871694,-1.4239431697147995e-09,-2.2654570681417943e-10
-72.02711789354841,-1.4241132486691942e-09,-2.2657079370540692e-10
-72.0268269345213,-1.4242879312294503e-09,-2.265966367443619e-10
-72.02653089202933,-1.4244671674667322e-09,-2.2662322755083314e-10
-72.02622981543146,-1.4246509085559506e-09,-2.2665055792253812e-10
-72.0259237530779,-1.4248391067503854e-09,-2.266786198315957e-10
-72.02561275233523,-1.4250317153567205e-09,-2.267074054210149e-10
-72.02529685961109,-1.425228688710518e-09,-2.2673690700120824e-10
-72.0249761203781,-1.4254299821521265e-09,-2.26767117046532e-10
-72.0246505791973,-1.4256355520030368e-09,-2.2679802819185778e-10
-72.02432027974086,-1.4258453555426841e-09,-2.2682963322917894e-10
-72.02398526481424,-1.4260593509857064e-09,-2.268619251042552e-10
