Vm,na12.ina_ina,na12mut.ina_ina
-72.01506559116153,-1.4320543786591767e-09,-9.785545931335228e-11
-72.01462833071712,-1.4323585205047535e-09,-9.787487222200396e-11
-72.01418719756155,-1.4326660561513863e-09,-9.789452904615636e-11
-72.01374221811497,-1.432976961583499e-09,-9.791442789738527e-11
-72.01329341835125,-1.433291213267848e-09,-9.793456692479831e-11
-72.01284082380845,-1.4336087881419199e-09,-9.795494431421214e-11
-72.01238445959895,-1.4339296636026377e-09,-9.797555828734558e-11
-72.01192435041932,-1.4342538174953529e-09,-9.799640710102887e-11
-72.01146052055994,-1.4345812281031313e-09,-9.801748904642862e-11
-72.01099299391433,-1.4349118741363158e-09,-9.803880244828862e-11
-72.01052179398827,-1.4352457347223636e-09,-9.806034566418615e-11
-72.01004694390872,-1.4355827893959488e-09,-9.808211708380423e-11
-72.00956846643231,-1.4359230180893254e-09,-9.810411512821853e-11
-72.00908638395387,-1.4362664011229423e-09,-9.812633824920021e-11
-72.00860071851457,-1.4366129191963107e-09,-9.814878492853332e-11
-72.00811149180983,-1.4369625533791012e-09,-9.817145367734724e-11
-72.00761872519713,-1.4373152851024882e-09,-9.819434303546382e-11
-72.00712243970355,-1.4376710961507115e-09,-9.821745157075874e-11
-72.00662265603307,-1.4380299686528672e-09,-9.824077787853733e-11
-72.00611939457382,-1.438391885074915e-09,-9.826432058092452e-11
-72.00561267540493,-1.4387568282118874e-09,-9.828807832626803e-11
-72.00510251830342,-1.4391247811803165e-09,-9.831204978855582e-11
-72.00458894275073,-1.4394957274108557e-09,-9.833623366684643e-11
-72.00407196793923,-1.4398696506410904e-09,-9.836062868471284e-11
-72.00355161277842,-1.4402465349085467e-09,-9.83852335896986e-11
-72.00302789590111,-1.4406263645438784e-09,-9.841004715278734e-11
-72.00250083566931,-1.441009124164234e-09,-9.8435068167884e-11
-72.00197045018005,-1.4413947986668005e-09,-9.846029545130867e-11
-72.00143675727105,-1.441783373222514e-09,-9.848572784130213e-11
-72.00089977452618,-1.4421748332699364e-09,-9.851136419754331e-11
-72.00035951928083,-1.4425691645092912e-09,-9.853720340067796e-11
-71.99981600862723,-1.4429663528966594e-09,-9.856324435185873e-11
-71.99926925941939,-1.4433663846383201e-09,-9.858948597229574e-11
-71.99871928827818,-1.4437692461852445e-09,-9.861592720281882e-11
-71.99816611159612,-1.4441749242277325e-09,-9.864256700344935e-11
-71.9976097455421,-1.4445834056901833e-09,-9.866940435298278e-11
-71.99705020606602,-1.4449946777260114e-09,-9.869643824858126e-11
-71.99648750890319,-1.4454087277126847e-09,-9.87236677053759e-11
-71.99592166957879,-1.4458255432468973e-09,-9.875109175607894e-11
-71.99535270341208,-1.446245112139864e-09,-9.87787094506047e-11
-71.9947806255206,-1.446667422412736e-09,-9.880651985570062e-11
-71.99420545082417,-1.4470924622921342e-09,-9.88345220545862e-11
-71.99362719404887,-1.4475202202058012e-09,-9.886271514660166e-11
-71.99304586973092,-1.4479506847783565e-09,-9.889109824686454e-11
-71.99246149222041,-1.4483838448271676e-09,-9.891967048593464e-11
-71.991874075685,-1.4488196893583223e-09,-9.894843100948755e-11
-71.99128363411347,-1.4492582075627013e-09,-9.897737897799566e-11
-71.99069018131924,-1.4496993888121602e-09,-9.900651356641707e-11
-71.99009373094378,-1.4501432226557936e-09,-9.903583396389213e-11
-71.98949429645994,-1.450589698816302e-09,-9.906533937344729e-11
-71.98889189117516,-1.4510388071864525e-09,-9.909502901170608e-11
-71.98828652823471,-1.4514905378256179e-09,-9.912490210860741e-11
-71.98767822062474,-1.4519448809564126e-09,-9.915495790713023e-11
-71.98706698117533,-1.4524018269614066e-09,-9.918519566302524e-11
-71.9864528225634,-1.4528613663799224e-09,-9.921561464455286e-11
-71.98583575731561,-1.4533234899049126e-09,-9.924621413222784e-11
-71.98521579781125,-1.4537881883799114e-09,-9.927699341856967e-11
-71.98459295628486,-1.4542554527960633e-09,-9.930795180785933e-11
-71.983967244829,-1.4547252742892254e-09,-9.933908861590173e-11
-71.98333867539687,-1.4551976441371365e-09,-9.9370403169794e-11
-71.98270725980484,-1.455672553756661e-09,-9.940189480769913e-11
-71.98207300973498,-1.4561499947010938e-09,-9.943356287862538e-11
-71.98143593673747,-1.4566299586575345e-09,-9.946540674221065e-11
-71.98079605223307,-1.4571124374443253e-09,-9.949742576851223e-11
-71.98015336751538,-1.4575974230085453e-09,-9.952961933780147e-11
-71.97950789375315,-1.4580849074235685e-09,-9.956198684036339e-11
-71.9788596419925,-1.4585748828866813e-09,-9.959452767630108e-11
-71.97820862315916,-1.4590673417167554e-09,-9.962724125534464e-11
-71.97755484806052,-1.4595622763519717e-09,-9.966012699666474e-11
-71.97689832738777,-1.4600596793476041e-09,-9.969318432869062e-11
-71.97623907171794,-1.4605595433738536e-09,-9.972641268893223e-11
-71.97557709151589,-1.46106186121373e-09,-9.975981152380671e-11
-71.97491239713624,-1.4615666257609846e-09,-9.979338028846897e-11
-71.9742449988253,-1.462073830018092e-09,-9.982711844664598e-11
-71.97357490672294,-1.462583467094281e-09,-9.986102547047525e-11
-71.97290213086445,-1.4630955302036043e-09,-9.98951008403468e-11
-71.97222668118222,-1.4636100126630548e-09,-9.992934404474899e-11
-71.97154856750763,-1.46412690789073e-09,-9.996375458011796e-11
-71.97086779957263,-1.4646462094040316e-09,-9.999833195069022e-11
-71.97018438701154,-1.46516791081791e-09,-1.0003307566835904e-10
-71.96949833936262,-1.4656920058431455e-09,-1.0006798525253394e-10
-71.96880966606965,-1.4662184882846715e-09,-1.001030602300032e-10
-71.96811837648356,-1.466747352039931e-09,-1.0013830013480003e-10
