Vm,na12.ina_ina,na12mut.ina_ina
-72.02259892618588,-1.4269564113113097e-09,-1.0475141544663901e-10
-72.02224094732973,-1.4271907705261971e-09,-1.0476313965208879e-10
-72.02187849280622,-1.4274290893557355e-09,-1.0477520345460469e-10
-72.02151159992817,-1.427671331962404e-09,-1.0478760380897478e-10
-72.02114030529948,-1.427917463278286e-09,-1.0480033771087553e-10
-72.02076464483258,-1.4281674489863769e-09,-1.0481340219687685e-10
-72.02038465376538,-1.4284212555023296e-09,-1.0482679434440728e-10
-72.02000036667782,-1.4286788499566236e-09,-1.0484051127168216e-10
-72.01961181750796,-1.428940200177158e-09,-1.0485455013759686e-10
-72.01921903956767,-1.4292052746722607e-09,-1.0486890814158816e-10
-72.01882206555786,-1.4294740426141073e-09,-1.0488358252346498e-10
-72.01842092758325,-1.429746473822536e-09,-1.0489857056321184e-10
-72.01801565716694,-1.4300225387492714e-09,-1.0491386958076606e-10
-72.01760628526438,-1.4303022084625248e-09,-1.0492947693577104e-10
-72.01719284227701,-1.4305854546319816e-09,-1.0494539002730757e-10
-72.01677535806567,-1.4308722495141668e-09,-1.0496160629360479e-10
-72.0163538619635,-1.4311625659381686e-09,-1.0497812321173208e-10
-72.01592838278852,-1.4314563772917322e-09,-1.0499493829727396e-10
-72.01549894885594,-1.4317536575076969e-09,-1.0501204910398946e-10
-72.01506558799008,-1.4320543810507834e-09,-1.050294532234565e-10
-72.014628327536,-1.4323585229047202e-09,-1.0504714828470401e-10
-72.01418719437079,-1.432666058559696e-09,-1.050651319538317e-10
-72.01374221491457,-1.4329769640001359e-09,-1.0508340193361932e-10
-72.01329341514125,-1.4332912156927981e-09,-1.0510195596312656e-10
-72.01284082058886,-1.43360879057517e-09,-1.0512079181728426e-10
-72.0123844563698,-1.433929666044173e-09,-1.0513990730647814e-10
-72.01192434718064,-1.4342538199451608e-09,-1.0515930027612616e-10
-72.01146051731173,-1.4345812305611983e-09,-1.0517896860624998e-10
-72.01099299065662,-1.434911876602631e-09,-1.0519891021104147e-10
-72.0105217907211,-1.4352457371969145e-09,-1.0521912303842539e-10
-72.01004694063208,-1.4355827918787238e-09,-1.0523960506961827e-10
-72.00956846314624,-1.4359230205803133e-09,-1.0526035431868505e-10
-72.00908638065837,-1.4362664036221333e-09,-1.0528136883209333e-10
-72.00860071520967,-1.436612921703694e-09,-1.0530264668826631e-10
-72.00811148849553,-1.4369625558946683e-09,-1.053241859971344e-10
-72.00761872187347,-1.4373152876262303e-09,-1.0534598489968736e-10
-72.00712243637054,-1.4376710986826197e-09,-1.0536804156752542e-10
-72.00662265269072,-1.4380299711929333e-09,-1.0539035420241183e-10
-72.00611939122216,-1.4383918876231306e-09,-1.0541292103582585e-10
-72.00561267204397,-1.4387568307682447e-09,-1.0543574032851761e-10
-72.00510251493316,-1.4391247837448086e-09,-1.0545881037006404e-10
-72.0045889393712,-1.439495729983476e-09,-1.0548212947842771e-10
-72.00407196455045,-1.439869653221832e-09,-1.0550569599951724e-10
-72.0035516093804,-1.4402465374974037e-09,-1.0552950830675123e-10
-72.00302789249386,-1.440626367140845e-09,-1.0555356480062442e-10
-72.00250083225284,-1.441009126769305e-09,-1.0557786390827752e-10
-72.00197044675437,-1.4413948012799706e-09,-1.0560240408307045e-10
-72.00143675383617,-1.4417833758437799e-09,-1.05627183804159e-10
-72.00089977108212,-1.442174835899293e-09,-1.056522015760756e-10
-72.00035951582763,-1.4425691671467353e-09,-1.0567745592831396e-10
-71.99981600516487,-1.4429663555421867e-09,-1.05702945414918e-10
-71.9992692559479,-1.4433663872919269e-09,-1.0572866861407494e-10
-71.99871928479756,-1.4437692488469274e-09,-1.0575462412771307e-10
-71.99816610810637,-1.4441749268974881e-09,-1.057808105811039e-10
-71.99760974204327,-1.4445834083680102e-09,-1.058072266224692e-10
-71.99705020255809,-1.4449946804119063e-09,-1.0583387092259243e-10
-71.99648750538617,-1.445408730406645e-09,-1.0586074217443551e-10
-71.9959216660527,-1.4458255459489214e-09,-1.0588783909276007e-10
-71.99535269987693,-1.4462451148499506e-09,-1.0591516041375408e-10
-71.9947806219764,-1.4466674251308839e-09,-1.0594270489466288e-10
-71.99420544727093,-1.4470924650183425e-09,-1.059704713134262e-10
-71.9936271904866,-1.4475202229400676e-09,-1.0599845846831924e-10
-71.99304586615963,-1.4479506875206813e-09,-1.0602666517759984e-10
-71.99246148864012,-1.4483838475775492e-09,-1.0605509027916e-10
-71.99187407209571,-1.4488196921167604e-09,-1.0608373263018317e-10
-71.9912836305152,-1.4492582103291977e-09,-1.0611259110680609e-10
-71.990690177712,-1.4496993915867128e-09,-1.0614166460378645e-10
